Date,Player,Team,Penalty,Minutes
4/10/19,Brandon Dubinsky,Columbus Blue Jackets,Roughing,2
4/10/19,David Savard,Columbus Blue Jackets,Interference,2
4/10/19,Brandon Dubinsky,Columbus Blue Jackets,Hi stick - double minor,4
4/10/19,Dan Girardi,Tampa Bay Lightning,Illegal check to head,2
4/10/19,Dan Girardi,Tampa Bay Lightning,Roughing,2
4/10/19,Alex Killorn,Tampa Bay Lightning,Hi-sticking,2
4/10/19,Marcus Pettersson,Pittsburgh Penguins,Tripping,2
4/10/19,Phil Kessel,Pittsburgh Penguins,Tripping,2
4/10/19,Evgeni Malkin,Pittsburgh Penguins,Roughing,2
4/10/19,Kris Letang,Pittsburgh Penguins,Roughing,2
4/10/19,Leo Komarov,New York Islanders,Holding,2
4/10/19,Scott Mayfield,New York Islanders,Roughing,2
4/10/19,Ryan Pulock,New York Islanders,Interference,2
4/10/19,Anders Lee,New York Islanders,Boarding,2
4/10/19,Brock Nelson,New York Islanders,Slashing,2
4/10/19,Mattias Janmark,Dallas Stars,Slashing,2
4/10/19,Brian Boyle,Nashville Predators,Hooking,2
4/10/19,Ben Bishop,Dallas Stars,Embellishment,2
4/10/19,Colton Sissons,Nashville Predators,Interference on goalkeeper,2
4/10/19,John Klingberg,Dallas Stars,Roughing,2
4/10/19,Colton Sissons,Nashville Predators,Holding,2
4/10/19,Roman Polak,Dallas Stars,Tripping,2
4/10/19,Kyle Turris,Nashville Predators,Interference,2
4/10/19,Mattias Janmark,Dallas Stars,Holding,2
4/10/19,Tyler Bozak,St. Louis Blues,Cross checking,2
4/10/19,Mark Scheifele,Winnipeg Jets,Interference on goalkeeper,2
4/10/19,Mathieu Perreault,Winnipeg Jets,Hooking,2
4/10/19,Dmitry Kulikov,Winnipeg Jets,Hi-sticking,2
4/10/19,Pierre-Edouard Bellemare,Vegas Golden Knights,Tripping,2
4/10/19,Jonathan Marchessault,Vegas Golden Knights,Unsportsmanlike conduct,2
4/10/19,Timo Meier,San Jose Sharks,Tripping,2
4/10/19,Brenden Dillon,San Jose Sharks,Roughing,2
4/10/19,Deryk Engelland,Vegas Golden Knights,Hooking,2
4/10/19,William Carrier,Vegas Golden Knights,Tripping,2
4/10/19,Joe Pavelski,San Jose Sharks,Tripping,2
4/10/19,Nick Holden,Vegas Golden Knights,Slashing,2
4/10/19,Paul Stastny,Vegas Golden Knights,Roughing,2
4/10/19,Micheal Haley,San Jose Sharks,Roughing,2
4/10/19,Brayden McNabb,Vegas Golden Knights,Cross checking,2
4/10/19,Barclay Goodrow,San Jose Sharks,Slashing,2
4/10/19,Kevin Labanc,San Jose Sharks,Hooking,2
4/10/19,Tomas Nosek,Vegas Golden Knights,Misconduct (10 min),10
4/10/19,Ryan Reaves,Vegas Golden Knights,Misconduct (10 min),10
4/10/19,Evander Kane,San Jose Sharks,Misconduct (10 min),10
4/11/19,William Nylander,Toronto Maple Leafs,Hi-sticking,2
4/11/19,Kasperi Kapanen,Toronto Maple Leafs,Hi-sticking,2
4/11/19,Jake Debrusk,Boston Bruins,PS-Tripping on breakaway,0
4/11/19,Zdeno Chara,Boston Bruins,Interference,2
4/11/19,Justin Faulk,Carolina Hurricanes,Hi-sticking,2
4/11/19,Micheal Ferland,Carolina Hurricanes,Interference,2
4/11/19,Andrei Svechnikov,Carolina Hurricanes,Hooking,2
4/11/19,,Washington Capitals,Too many men/ice - bench,2
4/11/19,Justin Williams,Carolina Hurricanes,Holding the stick,2
4/11/19,Jakub Vrana,Washington Capitals,Hooking,2
4/11/19,T.J. Oshie,Washington Capitals,Hi-sticking,2
4/11/19,Erik Johnson,Colorado Avalanche,Hi-sticking,2
